"row","col","results22","results23","results24","results25","results32","results33","results34","results35","results42","results43","results44","results45","results52","results53","results54","results55"
90,0.4,0.963438531856109,0.926049242610774,0.889667441245505,0.854399324077508,0.926049242610774,0.854686596563195,0.788549445210688,0.727917545483142,0.889667441245505,0.788549445210688,0.699991356623135,0.623078376190406,0.854399324077508,0.727917545483142,0.623078376190406,0.536296471676114
91,0.4,0.965110579604702,0.928933425318155,0.893502510859807,0.859001646504364,0.928933425318155,0.859277751816479,0.79425432488916,0.7343488597713,0.893502510859807,0.79425432488916,0.706669241945765,0.630215365369887,0.859001646504364,0.7343488597713,0.630215365369887,0.543581547162586
92,0.4,0.966710454875415,0.931715225579437,0.897220306848503,0.863480277567346,0.931715225579437,0.863745628280498,0.799837569332481,0.740669359244214,0.897220306848503,0.799837569332481,0.713243531526099,0.637271624001782,0.863480277567346,0.740669359244214,0.637271624001782,0.550814726308913
93,0.4,0.968241015917485,0.93439773755943,0.900823624908535,0.867837536045794,0.93439773755943,0.868092530283126,0.805300432433049,0.746879387759186,0.900823624908535,0.805300432433049,0.719714186260498,0.644246274842466,0.867837536045794,0.746879387759186,0.644246274842466,0.557994551637764
94,0.4,0.969705023454384,0.936983991662799,0.904315234796497,0.872075746525803,0.936983991662799,0.872320768450615,0.810644216866644,0.752979357424954,0.904315234796497,0.810644216866644,0.726081240456853,0.651138513633859,0.872075746525803,0.752979357424954,0.651138513633859,0.565119623472843
95,0.4,0.971105143013469,0.939476953461623,0.907697878096218,0.876197236256884,0.939476953461623,0.876432656545823,0.815870270564671,0.758969748241763,0.907697878096218,0.815870270564671,0.732344799233479,0.657947607712328,0.876197236256884,0.758969748241763,0.657947607712328,0.572188599062146
96,0.4,0.972443947271065,0.941879525669942,0.91097426616716,0.880204332176999,0.941879525669942,0.880430508475977,0.820979983290299,0.764851101318363,0.91097426616716,0.820979983290299,0.738505035929565,0.664672894575388,0.880204332176999,0.764851101318363,0.664672894575388,0.579200195217431
97,0.4,0.973723917896337,0.944194544535007,0.91414707826524,0.884099358101697,0.944194544535007,0.884316635465476,0.825974782674945,0.770624018451364,0.91414707826524,0.825974782674945,0.744562189530107,0.671313780410594,0.884099358101697,0.770624018451364,0.671313780410594,0.586153183911156
98,0.4,0.974947449918349,0.946424782001808,0.917218959829251,0.887884632072829,0.946424782001808,0.888093343389006,0.830856133515874,0.776289158653438,0.917218959829251,0.830856133515874,0.750516562109746,0.677869738590799,0.887884632072829,0.776289158653438,0.677869738590799,0.593046394609291
99,0.4,0.976116851095104,0.948572945210834,0.920192520925143,0.891562463862144,0.948572945210834,0.891762930260365,0.835625530987825,0.781847235334155,0.920192520925143,0.835625530987825,0.756368516298077,0.684340307400132,0.891562463862144,0.781847235334155,0.684340307400132,0.599878713232328
100,0.4,0.977234346220249,0.950641676656486,0.923070334840751,0.895135152625162,0.950641676656486,0.895327683871823,0.840284500032595,0.787299013529883,0.923070334840751,0.840284500032595,0.762118472770484,0.690725091340837,0.895135152625162,0.787299013529883,0.690725091340837,0.606649081707614
2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.5,0.0782070082111148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.5,0.116989594837725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
